https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UST,Volume USD
1652295600000,2022-05-11 19:00:00,UST/USD,0.647,0.679,0.622,0.672,415155.948767,278984.797571424
1652292000000,2022-05-11 18:00:00,UST/USD,0.673,0.701,0.646,0.647,481714.162913,311669.063404711
1652288400000,2022-05-11 17:00:00,UST/USD,0.649,0.7,0.562,0.673,870211.67874,585652.45979202
1652284800000,2022-05-11 16:00:00,UST/USD,0.551,0.65,0.519,0.649,1453079.140926,943048.362460974
1652281200000,2022-05-11 15:00:00,UST/USD,0.501,0.553,0.435,0.551,864248.931041,476201.161003591
1652277600000,2022-05-11 14:00:00,UST/USD,0.467,0.57,0.467,0.501,290664.003563,145622.665785063
1652274000000,2022-05-11 13:00:00,UST/USD,0.292,0.49,0.292,0.467,1893438.863492,884235.949250764
1652270400000,2022-05-11 12:00:00,UST/USD,0.431,0.456,0.265,0.292,3610969.456984,1054403.081439328
1652266800000,2022-05-11 11:00:00,UST/USD,0.475,0.475,0.388,0.431,1667231.336928,718576.706215968
1652263200000,2022-05-11 10:00:00,UST/USD,0.472,0.635,0.444,0.475,1105654.278973,525185.7825121749
1652259600000,2022-05-11 09:00:00,UST/USD,0.503,0.506,0.401,0.472,258545.602888,122033.52456313599
1652256000000,2022-05-11 08:00:00,UST/USD,0.35,0.55,0.35,0.503,146355.664441,73616.899213823
1652252400000,2022-05-11 07:00:00,UST/USD,0.495,0.495,0.249,0.35,594081.248746,207928.43706109998
1652248800000,2022-05-11 06:00:00,UST/USD,0.695,0.702,0.481,0.495,3938954.514029,1949782.484444355
1652245200000,2022-05-11 05:00:00,UST/USD,0.771,0.788,0.692,0.695,840176.426376,583922.61633132
1652241600000,2022-05-11 04:00:00,UST/USD,0.834,0.838,0.761,0.771,724809.784191,558828.343611261
1652238000000,2022-05-11 03:00:00,UST/USD,0.85,0.85,0.808,0.834,257912.246716,215098.81376114397
1652234400000,2022-05-11 02:00:00,UST/USD,0.784,0.85,0.751,0.85,693653.123573,589605.1550370499
1652230800000,2022-05-11 01:00:00,UST/USD,0.801,0.81,0.784,0.784,411894.872369,322925.579937296
1652227200000,2022-05-11 00:00:00,UST/USD,0.801,0.848,0.798,0.801,1246887.593021,998756.9620098211
1652223600000,2022-05-10 23:00:00,UST/USD,0.721,0.825,0.709,0.801,1321769.507537,1058737.375537137
1652220000000,2022-05-10 22:00:00,UST/USD,0.775,0.815,0.649,0.721,2422033.629786,1746286.247075706
1652216400000,2022-05-10 21:00:00,UST/USD,0.904,0.904,0.763,0.775,1699538.137316,1317142.0564199
