https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USD
1652277600000,2022-05-11 14:00:00,LUNA/USD,3.15,8.89,3.15,4.26,278302.929893,1185570.48134418
1652274000000,2022-05-11 13:00:00,LUNA/USD,2.11,4.5,1.79,3.15,296504.655016,933989.6633003999
1652270400000,2022-05-11 12:00:00,LUNA/USD,1.99,4.6,1.35,2.11,360596.297483,760858.1876891298
1652266800000,2022-05-11 11:00:00,LUNA/USD,2.61,2.84,1.62,1.99,329859.120558,656419.64991042
1652263200000,2022-05-11 10:00:00,LUNA/USD,4.17,6.0,2.28,2.61,196776.092699,513585.60194439
1652259600000,2022-05-11 09:00:00,LUNA/USD,6.95,8.9,4.1,4.17,63931.777942,266595.51401814
1652256000000,2022-05-11 08:00:00,LUNA/USD,7.62,15.69,6.6,6.95,53327.835561,370628.45714895
1652252400000,2022-05-11 07:00:00,LUNA/USD,7.44,7.72,5.0,7.62,93714.039629,714100.9819729801
1652248800000,2022-05-11 06:00:00,LUNA/USD,9.37,9.71,6.78,7.44,109634.880798,815683.51313712
1652245200000,2022-05-11 05:00:00,LUNA/USD,10.48,12.01,8.84,9.37,105153.35237,985286.9117068999
1652241600000,2022-05-11 04:00:00,LUNA/USD,13.67,14.21,10.34,10.48,133199.183878,1395927.44704144
1652238000000,2022-05-11 03:00:00,LUNA/USD,15.44,15.78,13.23,13.67,70525.158195,964078.91252565
1652234400000,2022-05-11 02:00:00,LUNA/USD,14.44,16.02,12.47,15.44,108016.662206,1667777.2644606398
1652230800000,2022-05-11 01:00:00,LUNA/USD,16.88,17.74,14.07,14.44,79629.288916,1149846.9319470401
1652227200000,2022-05-11 00:00:00,LUNA/USD,17.51,19.63,16.61,16.88,78044.402034,1317389.50633392
1652223600000,2022-05-10 23:00:00,LUNA/USD,18.7,19.91,14.81,17.51,68867.838449,1205875.8512419902
1652220000000,2022-05-10 22:00:00,LUNA/USD,16.37,23.23,14.15,18.7,78762.303414,1472855.0738417997
1652216400000,2022-05-10 21:00:00,LUNA/USD,22.65,23.02,15.73,16.37,81155.335158,1328512.83653646
1652212800000,2022-05-10 20:00:00,LUNA/USD,25.03,25.12,21.81,22.65,42121.359573,954048.79432845
1652209200000,2022-05-10 19:00:00,LUNA/USD,28.07,28.33,23.67,25.03,51522.743142,1289614.26084426
1652205600000,2022-05-10 18:00:00,LUNA/USD,30.92,30.99,28.07,28.07,31788.73062,892309.6685033999
1652202000000,2022-05-10 17:00:00,LUNA/USD,29.88,32.19,29.67,30.92,26425.608879,817079.82653868
1652198400000,2022-05-10 16:00:00,LUNA/USD,31.32,32.39,29.38,29.88,46802.910938,1398470.97882744
1652194800000,2022-05-10 15:00:00,LUNA/USD,29.29,33.33,27.69,31.32,68726.357738,2152509.5243541603
1652191200000,2022-05-10 14:00:00,LUNA/USD,31.62,32.93,28.38,29.29,29150.784606,853826.48110974
1652187600000,2022-05-10 13:00:00,LUNA/USD,33.57,34.63,30.65,31.62,32998.239901,1043404.3456696201
1652184000000,2022-05-10 12:00:00,LUNA/USD,32.48,34.62,31.55,33.57,41527.340178,1394072.80977546
1652180400000,2022-05-10 11:00:00,LUNA/USD,29.23,33.62,29.09,32.48,38427.922835,1248138.9336807998
1652176800000,2022-05-10 10:00:00,LUNA/USD,29.02,30.52,28.25,29.23,23600.405741,689839.85980943
1652173200000,2022-05-10 09:00:00,LUNA/USD,31.78,32.73,28.73,29.02,14407.117404,418094.54706408
1652169600000,2022-05-10 08:00:00,LUNA/USD,31.04,34.03,30.71,31.78,14805.688804,470524.79019112
1652166000000,2022-05-10 07:00:00,LUNA/USD,34.56,35.31,30.56,31.04,22139.528662,687210.96966848
1652162400000,2022-05-10 06:00:00,LUNA/USD,33.0,37.34,32.5,34.56,69022.435602,2385415.37440512
1652158800000,2022-05-10 05:00:00,LUNA/USD,29.82,33.91,27.33,33.0,112653.255982,3717557.447406
1652155200000,2022-05-10 04:00:00,LUNA/USD,33.52,33.52,25.0,29.82,53448.909777,1593846.48955014
1652151600000,2022-05-10 03:00:00,LUNA/USD,33.52,33.52,33.52,33.52,0.0,0.0
1652148000000,2022-05-10 02:00:00,LUNA/USD,35.3,35.61,31.86,33.52,81359.071429,2727156.0743000805
1652144400000,2022-05-10 01:00:00,LUNA/USD,38.75,41.44,34.0,35.3,60980.173383,2152600.1204199
1652140800000,2022-05-10 00:00:00,LUNA/USD,30.16,39.0,26.0,38.75,129486.769264,5017612.30898
1652137200000,2022-05-09 23:00:00,LUNA/USD,41.45,42.46,28.91,30.16,117665.747905,3548798.9568148
1652133600000,2022-05-09 22:00:00,LUNA/USD,41.72,46.97,40.01,41.45,68733.215267,2848991.7728171507
1652130000000,2022-05-09 21:00:00,LUNA/USD,48.8,49.09,41.27,41.72,24125.266086,1006506.1011079199
1652126400000,2022-05-09 20:00:00,LUNA/USD,46.94,52.15,46.94,48.8,42217.250591,2060201.8288408
1652122800000,2022-05-09 19:00:00,LUNA/USD,46.75,48.51,44.2,46.94,65226.212565,3061718.4178011
1652119200000,2022-05-09 18:00:00,LUNA/USD,51.42,51.91,43.21,46.75,124710.900481,5830234.59748675
1652115600000,2022-05-09 17:00:00,LUNA/USD,53.76,54.01,51.39,51.42,41807.303241,2149731.53265222
1652112000000,2022-05-09 16:00:00,LUNA/USD,57.38,57.58,52.73,53.76,61224.281932,3291417.3966643196
1652108400000,2022-05-09 15:00:00,LUNA/USD,58.8,59.38,56.6,57.38,38272.561589,2196079.58397682
1652104800000,2022-05-09 14:00:00,LUNA/USD,60.16,60.57,58.61,58.8,10794.789199,634733.6049012
1652101200000,2022-05-09 13:00:00,LUNA/USD,59.27,61.5,58.67,60.16,11258.72208,677324.7203328
1652097600000,2022-05-09 12:00:00,LUNA/USD,59.45,60.26,58.5,59.27,29063.715001,1722606.38810927
1652094000000,2022-05-09 11:00:00,LUNA/USD,60.57,61.27,59.35,59.45,9782.057439,581543.3147485501
1652090400000,2022-05-09 10:00:00,LUNA/USD,61.22,61.4,59.3,60.57,18322.789004,1109811.32997228
1652086800000,2022-05-09 09:00:00,LUNA/USD,61.67,62.1,60.98,61.22,370.898313,22706.394721859997
1652083200000,2022-05-09 08:00:00,LUNA/USD,60.81,61.98,60.05,61.67,1595.362013,98385.97534171
1652079600000,2022-05-09 07:00:00,LUNA/USD,61.89,62.49,60.67,60.81,4047.013266,246098.87670546002
1652076000000,2022-05-09 06:00:00,LUNA/USD,61.39,62.21,60.7,61.89,3122.883167,193275.23920563
1652072400000,2022-05-09 05:00:00,LUNA/USD,62.82,63.25,61.39,61.39,1706.34113,104752.2819707
